File	Line	Term	Text
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	24	Dynasty	9460,armor,[DRA] Circlet,Ashen Dynasty [DRA] Circlet.,6386,icon.armor_leather_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	25	Dynasty	9461,armor,[DRA] Robe,Ashen Dynasty [DRA] Robe.,6383,ct1icon.armor_t93_u_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	26	Dynasty	9462,armor,[DRA] Gloves,Ashen Dynasty [DRA] Gloves.,6384,ct1icon.armor_t93_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	27	Dynasty	9463,armor,[DRA] Shoes,Ashen Dynasty [DRA] Shoes.,6385,ct1icon.armor_t93_b_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	28	Dynasty	9600,armor,Dark Knight Heavy Helmet,Ashen Dynasty Dark Knight Heavy Helmet.,10350,InfernusKnight.armor_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	29	Dynasty	9601,armor,Dark Knight Heavy Breastplate,Ashen Dynasty Dark Knight Heavy Breastplate.,10351,InfernusKnight.armor_t1004_u_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	30	Dynasty	9602,armor,Dark Knight Heavy Gaiters,Ashen Dynasty Dark Knight Heavy Gaiters.,10352,InfernusKnight.armor_t1004_l_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	31	Dynasty	9603,armor,Dark Knight Heavy Gauntlets,Ashen Dynasty Dark Knight Heavy Gauntlets.,10353,InfernusKnight.armor_t1004_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	32	Dynasty	9604,armor,Dark Knight Heavy Boots,Ashen Dynasty Dark Knight Heavy Boots.,10354,InfernusKnight.armor_t1004_b_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	33	Dynasty	9630,armor,Dark Knight Light Helmet,Ashen Dynasty Dark Knight Light Helmet.,10355,InfernusKnight.armor_leather_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	34	Dynasty	9631,armor,Dark Knight Light Armor,Ashen Dynasty Dark Knight Light Armor.,10356,InfernusKnight.armor_t1005_u_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	35	Dynasty	9632,armor,Dark Knight Light Gloves,Ashen Dynasty Dark Knight Light Gloves.,10358,InfernusKnight.armor_t1005_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	36	Dynasty	9633,armor,Dark Knight Light Boots,Ashen Dynasty Dark Knight Light Boots.,10359,InfernusKnight.armor_t1005_b_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	37	Dynasty	9660,armor,Dark Knight Robe Circlet,Ashen Dynasty Dark Knight Robe Circlet.,10360,InfernusKnight.armor_cloth_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	38	Dynasty	9661,armor,Dark Knight Robe,Ashen Dynasty Dark Knight Robe.,10361,InfernusKnight.armor_t1006_u_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	39	Dynasty	9662,armor,Dark Knight Robe Gloves,Ashen Dynasty Dark Knight Robe Gloves.,10363,InfernusKnight.armor_t1006_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	40	Dynasty	9663,armor,Dark Knight Robe Shoes,Ashen Dynasty Dark Knight Robe Shoes.,10364,InfernusKnight.armor_t1006_b_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	41	Dynarty	9700,armor,Dynarty Heavy Helmet,Ashen Dynasty Dynarty Heavy Helmet.,13935,icon.armor_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	42	Dynarty	9701,armor,Dynarty Heavy Breastplate,Ashen Dynasty Dynarty Heavy Breastplate.,12933,ct1icon.armor_t91_u_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	43	Dynarty	9702,armor,Dynarty Heavy Gaiters,Ashen Dynasty Dynarty Heavy Gaiters.,13934,ct1icon.armor_t91_l_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	44	Dynarty	9703,armor,Dynarty Heavy Gauntlets,Ashen Dynasty Dynarty Heavy Gauntlets.,13936,ct1icon.armor_t91_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	45	Dynarty	9704,armor,Dynarty Heavy Boots,Ashen Dynasty Dynarty Heavy Boots.,13937,ct1icon.armor_t91_b_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	46	Dynarty	9730,armor,Dynarty Light Helmet,Ashen Dynasty Dynarty Light Helmet.,9330,icon.armor_leather_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	47	Dynarty	9731,armor,Dynarty Light Armor,Ashen Dynasty Dynarty Light Armor.,9331,ct1icon.armor_t92_u_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	48	Dynarty	9732,armor,Dynarty Light Gloves,Ashen Dynasty Dynarty Light Gloves.,9332,ct1icon.armor_t92_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	49	Dynarty	9733,armor,Dynarty Light Boots,Ashen Dynasty Dynarty Light Boots.,9333,ct1icon.armor_t92_b_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	50	Dynarty	9760,armor,Dynarty Robe Circlet,Ashen Dynasty Dynarty Robe Circlet.,9360,icon.armor_cloth_helmet_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	51	Dynarty	9761,armor,Dynarty Robe,Ashen Dynasty Dynarty Robe.,9361,ct1icon.armor_t93_u_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	52	Dynarty	9762,armor,Dynarty Robe Gloves,Ashen Dynasty Dynarty Robe Gloves.,9362,ct1icon.armor_t93_g_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	53	Dynarty	9763,armor,Dynarty Robe Shoes,Ashen Dynasty Dynarty Robe Shoes.,9363,ct1icon.armor_t93_b_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	54	Dynasty	9399,etc,Ashen TT Fragment,Ashen Dynasty Ashen TT Fragment.,1785,icon.etc_stone_gray_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	55	Dynasty	9499,etc,Ashen Draconic Fragment,Ashen Dynasty Ashen Draconic Fragment.,1785,icon.etc_stone_gray_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	56	Dynasty	9500,etc,Recipe: Ashen TT Helmet,Ashen Dynasty Recipe: Ashen TT Helmet.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	57	Dynasty	9501,etc,Recipe: Ashen TT Breastplate,Ashen Dynasty Recipe: Ashen TT Breastplate.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	58	Dynasty	9502,etc,Recipe: Ashen TT Gaiters,Ashen Dynasty Recipe: Ashen TT Gaiters.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	59	Dynasty	9503,etc,Recipe: Ashen TT Gauntlets,Ashen Dynasty Recipe: Ashen TT Gauntlets.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	60	Dynasty	9504,etc,Recipe: Ashen TT Boots,Ashen Dynasty Recipe: Ashen TT Boots.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	61	Dynasty	9505,etc,Recipe: Ashen TT Shield,Ashen Dynasty Recipe: Ashen TT Shield.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	62	Dynasty	9506,etc,Recipe: Ashen TT Leather Helmet,Ashen Dynasty Recipe: Ashen TT Leather Helmet.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	63	Dynasty	9507,etc,Recipe: Ashen TT Leather Armor,Ashen Dynasty Recipe: Ashen TT Leather Armor.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	64	Dynasty	9508,etc,Recipe: Ashen TT Leather Gloves,Ashen Dynasty Recipe: Ashen TT Leather Gloves.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	65	Dynasty	9509,etc,Recipe: Ashen TT Leather Boots,Ashen Dynasty Recipe: Ashen TT Leather Boots.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	66	Dynasty	9510,etc,Recipe: Ashen TT Circlet,Ashen Dynasty Recipe: Ashen TT Circlet.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	67	Dynasty	9511,etc,Recipe: Ashen TT Robe,Ashen Dynasty Recipe: Ashen TT Robe.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	68	Dynasty	9512,etc,Recipe: Ashen TT Gloves,Ashen Dynasty Recipe: Ashen TT Gloves.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	69	Dynasty	9513,etc,Recipe: Ashen TT Shoes,Ashen Dynasty Recipe: Ashen TT Shoes.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	70	Dynasty	9514,etc,Recipe: Ashen TT Blade,Ashen Dynasty Recipe: Ashen TT Blade.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	71	Dynasty	9515,etc,Recipe: Ashen TT Divider,Ashen Dynasty Recipe: Ashen TT Divider.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	72	Dynasty	9516,etc,Recipe: Ashen TT Dual Swords,Ashen Dynasty Recipe: Ashen TT Dual Swords.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	73	Dynasty	9517,etc,Recipe: Ashen TT Dagger,Ashen Dynasty Recipe: Ashen TT Dagger.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	74	Dynasty	9518,etc,Recipe: Ashen TT Bow,Ashen Dynasty Recipe: Ashen TT Bow.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	75	Dynasty	9519,etc,Recipe: Ashen TT Hammer,Ashen Dynasty Recipe: Ashen TT Hammer.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	76	Dynasty	9520,etc,Recipe: Ashen TT Spear,Ashen Dynasty Recipe: Ashen TT Spear.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	77	Dynasty	9521,etc,Recipe: Ashen TT Fist,Ashen Dynasty Recipe: Ashen TT Fist.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	78	Dynasty	9522,etc,Recipe: Ashen TT Staff,Ashen Dynasty Recipe: Ashen TT Staff.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	79	Dynasty	9523,etc,Recipe: Draconic Heavy Helmet,Ashen Dynasty Recipe: Draconic Heavy Helmet.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	80	Dynasty	9524,etc,Recipe: Draconic Heavy Breastplate,Ashen Dynasty Recipe: Draconic Heavy Breastplate.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	81	Dynasty	9525,etc,Recipe: Draconic Heavy Gaiters,Ashen Dynasty Recipe: Draconic Heavy Gaiters.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	82	Dynasty	9526,etc,Recipe: Draconic Heavy Gauntlets,Ashen Dynasty Recipe: Draconic Heavy Gauntlets.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	83	Dynasty	9527,etc,Recipe: Draconic Heavy Boots,Ashen Dynasty Recipe: Draconic Heavy Boots.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	84	Dynasty	9528,etc,Recipe: Draconic Heavy Shield,Ashen Dynasty Recipe: Draconic Heavy Shield.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	85	Dynasty	9529,etc,Recipe: Ashen Draconic Leather Helmet,Ashen Dynasty Recipe: Ashen Draconic Leather Helmet.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	86	Dynasty	9530,etc,Recipe: Ashen Draconic Leather Armor,Ashen Dynasty Recipe: Ashen Draconic Leather Armor.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	87	Dynasty	9531,etc,Recipe: Ashen Draconic Leather Gloves,Ashen Dynasty Recipe: Ashen Draconic Leather Gloves.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	88	Dynasty	9532,etc,Recipe: Ashen Draconic Leather Boots,Ashen Dynasty Recipe: Ashen Draconic Leather Boots.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	89	Dynasty	9533,etc,Recipe: Ashen Draconic Circlet,Ashen Dynasty Recipe: Ashen Draconic Circlet.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	90	Dynasty	9534,etc,Recipe: Ashen Draconic Robe,Ashen Dynasty Recipe: Ashen Draconic Robe.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	91	Dynasty	9535,etc,Recipe: Ashen Draconic Gloves,Ashen Dynasty Recipe: Ashen Draconic Gloves.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	92	Dynasty	9536,etc,Recipe: Ashen Draconic Shoes,Ashen Dynasty Recipe: Ashen Draconic Shoes.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	93	Dynasty	9537,etc,Recipe: Ashen Draconic Blade,Ashen Dynasty Recipe: Ashen Draconic Blade.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	94	Dynasty	9538,etc,Recipe: Ashen Draconic Divider,Ashen Dynasty Recipe: Ashen Draconic Divider.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	95	Dynasty	9539,etc,Recipe: Ashen Draconic Dual Swords,Ashen Dynasty Recipe: Ashen Draconic Dual Swords.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	96	Dynasty	9540,etc,Recipe: Ashen Draconic Dagger,Ashen Dynasty Recipe: Ashen Draconic Dagger.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	97	Dynasty	9541,etc,Recipe: Ashen Draconic Bow,Ashen Dynasty Recipe: Ashen Draconic Bow.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	98	Dynasty	9542,etc,Recipe: Ashen Draconic Hammer,Ashen Dynasty Recipe: Ashen Draconic Hammer.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	99	Dynasty	9543,etc,Recipe: Ashen Draconic Spear,Ashen Dynasty Recipe: Ashen Draconic Spear.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	100	Dynasty	9544,etc,Recipe: Ashen Draconic Fist,Ashen Dynasty Recipe: Ashen Draconic Fist.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	101	Dynasty	9545,etc,Recipe: Ashen Draconic Staff,Ashen Dynasty Recipe: Ashen Draconic Staff.,3953,icon.etc_recipe_black_i00
D:\Lineage-II-Ashen-Dynasty\l2-ashen-dynasty-rebuild\infrastructure\customization\ashen_client\ashen_client_manifest.csv	102	Dynasty	9546,etc,Recipe: Dark Knight Heavy Helmet,Ashen Dynasty Recipe: Dark Knight Heavy Helmet.,3953,icon.etc_recipe_black_i00
